Code,Family,Category,Compliance,Relevant Form / Document (best effort),Due Date,Statutory Reference,Penalty,Dependency,Existing/New
IN-MCA-MANAGERIAL-REMUNERATION,ROC,CORPORATE_SECRETARIAL,Managerial remuneration — approvals and limits,Board/Shareholder Resolution + statutory records,Event-based / annual — approvals must be in place before payment or appointment; annual disclosures form part of corporate reporting,"Section 197 Companies Act, 2013 r/w Schedule V",Excess remuneration may be recoverable and contravention can attract statutory penalties.,CIN,New
IN-MCA-MR1,ROC,CORPORATE_SECRETARIAL,MR-1 — return of appointment of MD / WTD / Manager,MR-1,Event-based — within 60 days of appointment,"Section 196 Companies Act, 2013 r/w Rule 3 Companies (Appointment and Remuneration of Managerial Personnel) Rules, 2014",Additional filing fee and statutory penalties may apply for default.,CIN,New
IN-MCA-MANAGERIAL-REMUNERATION-DISCLOSURE,ROC,CORPORATE_SECRETARIAL,Managerial remuneration — annual disclosure,Board's Report / financial statement disclosures,"Annual — with the Board's Report and financial statements, as applicable","Section 197(12) Companies Act, 2013 r/w Rule 5 Companies (Appointment and Remuneration of Managerial Personnel) Rules, 2014",No separate filing penalty; non-compliance is dealt with under the applicable substantive provision.,CIN,New
IN-MCA-DIRECTOR-RETIREMENT-ROTATION,ROC,CORPORATE_SECRETARIAL,Director retirement by rotation / reappointment,AGM Resolution + DIR-12,Annual / event-based — at the AGM; DIR-12 generally within 30 days if there is an appointment or cessation to report,"Section 152(6) Companies Act, 2013",Additional filing fee and statutory penalties may apply where the required ROC filing is delayed.,CIN,New
IN-MCA-BOARD-MEETING-PARTICIPATION,ROC,CORPORATE_SECRETARIAL,Board meetings — participation and attendance,Board Meeting Register / Attendance,Governance / event-based — record participation and attendance for each Board meeting; no separate quarterly filing deadline. Board-meeting frequency is governed by Section 173.,"Section 173 Companies Act, 2013","No standalone filing penalty for participation/attendance records. Consequences depend on the specific Section 173 / governance default; do not apply ₹25,000 as a generic penalty.",CIN,New
IN-MCA-RPT-DIRECTOR-DISCLOSURE,ROC,CORPORATE_SECRETARIAL,Related-party / interest disclosure by directors,MBP-1 / RPT process,Annual / event-based — disclose interests at the first Board meeting of each financial year and whenever there is a change; transaction approvals are event-based,"Sections 184 and 188 Companies Act, 2013",Non-compliance can attract penalties and may make the transaction voidable / require ratification.,CIN,New
IN-MCA-LOANS-TO-DIRECTORS,ROC,CORPORATE_SECRETARIAL,Loans to directors — Section 185 compliance,Board/Shareholder approval + statutory records,"Event-based — statutory conditions and approvals must be satisfied before the loan, guarantee or security is provided","Section 185 Companies Act, 2013","Contravention can attract monetary penalties on the company, officers and recipient, and other statutory consequences.",CIN,New
IN-MCA-BOARD-REPORT-DISCLOSURES,ROC,CORPORATE_SECRETARIAL,Board's Report — annual statutory disclosures,Board's Report,Annual — approved by the Board and circulated with the financial statements before the AGM,"Section 134 Companies Act, 2013 r/w Companies (Accounts) Rules, 2014",Contravention attracts penalties on the company and officers under Section 134.,CIN,New
IN-MCA-DIRECTOR-REMUNERATION-DISCLOSURE,ROC,CORPORATE_SECRETARIAL,Director remuneration — annual disclosure,Financial statements / Board's Report,"Annual — with the financial statements and Board's Report, as applicable","Sections 197 and 134 Companies Act, 2013 r/w applicable disclosure rules",No separate filing penalty; non-compliance is dealt with under the applicable substantive provision.,CIN,New
IN-MCA-REGISTER-DIRECTORS-KMP,ROC,CORPORATE_SECRETARIAL,Register of directors and KMP — maintenance and updates,Statutory Register,Ongoing — update the statutory register when particulars change; keep it available as required,"Section 170 Companies Act, 2013",Default attracts statutory penalties under the Companies Act.,CIN,New
IN-MCA-OTHER-DIRECTORSHIPS-DISCLOSURE,ROC,CORPORATE_SECRETARIAL,Director disclosures — other directorships / disqualification status,DIR-8 / MBP-1 / director disclosure,Annual / event-based — at the start of the financial year / first Board meeting and whenever particulars change,"Sections 164 and 184 Companies Act, 2013 r/w applicable rules",Incorrect or omitted disclosure may trigger director and company-level compliance consequences.,CIN,New
IN-MCA-AOC4,ROC,CORPORATE_SECRETARIAL,AOC-4 — filing of financial statements,AOC-4,Annual — 30 days after the AGM Date,"Section 137 Companies Act, 2013 r/w Rule 12","₹100 per day with no cap, plus penalties on the company and every officer in default.",CIN,Existing
IN-MCA-AOC4-CFS,ROC,CORPORATE_SECRETARIAL,AOC-4 CFS — consolidated financial statements,AOC-4 CFS,Annual — 30 days after the AGM Date,"Section 129(3) Companies Act, 2013 r/w Rule 6",₹100 per day with no cap.,CIN,Existing
IN-MCA-AOC4-NBFC,ROC,CORPORATE_SECRETARIAL,AOC-4 NBFC — filing of NBFC financial statements,AOC-4 NBFC (Ind AS) / applicable NBFC variant,Annual — within 30 days of the AGM,"Section 137 Companies Act, 2013 r/w applicable Companies (Accounts) / filing rules for NBFCs",Additional filing fee applies for delay; continuing default can attract company and officer penalties.,CIN,New
IN-MCA-AOC4-XBRL,ROC,CORPORATE_SECRETARIAL,AOC-4 XBRL — financial statements in XBRL format,AOC-4 XBRL,Annual — 30 days after the AGM Date,"Rule 3 Companies (Filing of Documents and Forms in XBRL) Rules, 2015",₹100 per day with no cap.,CIN,Existing
IN-MCA-MGT7,ROC,CORPORATE_SECRETARIAL,MGT-7 — annual return,MGT-7,Annual — 60 days after the AGM Date,"Section 92 Companies Act, 2013 r/w Rule 11",Additional filing fee ₹100 per day of delay under applicable filing-fee rules; separate statutory penalty under Section 92 may also apply.,CIN,Existing
IN-MCA-MGT7A,ROC,CORPORATE_SECRETARIAL,MGT-7A — annual return for OPC / small company,MGT-7A,Annual — 60 days after the AGM Date,"Section 92 Companies Act, 2013 r/w Rule 11(1) proviso",Additional filing fee ₹100 per day of delay under applicable filing-fee rules; separate statutory penalty under Section 92 may also apply.,CIN,Existing
IN-MCA-BOARDS-REPORT,ROC,CORPORATE_SECRETARIAL,Board's Report — preparation and approval,Board's Report,Annual — approved by the Board and sent with the financial statements before the AGM,"Section 134 Companies Act, 2013 r/w Companies (Accounts) Rules, 2014",Contravention attracts penalties on the company and officers under Section 134.,CIN,New
IN-MCA-FINANCIAL-STATEMENTS-PREPARATION,ROC,CORPORATE_SECRETARIAL,"Financial statements — preparation, approval and signing","Balance Sheet + Statement of Profit and Loss + Cash Flow + Notes, as applicable",Annual — prepare for Board approval before circulation and AGM,"Sections 129 and 134 Companies Act, 2013",Non-compliance can attract penalties relating to financial statements and Board reporting.,CIN,New
IN-MCA-AGM,ROC,CORPORATE_SECRETARIAL,Annual general meeting,Notice + Agenda + Resolutions + Minutes,First AGM: within 9 months from close of first financial year. Thereafter: within 6 months from close of FY and not more than 15 months between AGMs; Registrar may extend a non-first AGM by up to 3 months.,"Section 96 Companies Act, 2013",Default in holding an AGM is punishable under Section 99. Keep the penalty amount/version as a law-versioned parameter rather than a fixed generic value.,CIN,Existing
IN-MCA-AGM-NOTICE,ROC,CORPORATE_SECRETARIAL,AGM notice,AGM Notice,"Annual — ordinarily at least 21 clear days before the AGM, unless shorter notice is validly consented to","Section 101 Companies Act, 2013",Defective notice can invalidate proceedings and may attract statutory consequences.,CIN,New
IN-MCA-AGM-MINUTES,ROC,CORPORATE_SECRETARIAL,AGM minutes — preparation and entry,Minutes of AGM,"Event-based — minutes must be prepared, signed and entered in the minutes book within 30 days of the meeting","Section 118 Companies Act, 2013 r/w Secretarial Standard on General Meetings (SS-2)",Default attracts penalties on the company and officers under Section 118.,CIN,New
IN-MCA-ANNUAL-RETURN-PREPARATION,ROC,CORPORATE_SECRETARIAL,Annual return — preparation and finalisation,Annual Return Working Paper,Annual — complete in time for filing MGT-7 / MGT-7A within 60 days of the AGM,"Section 92 Companies Act, 2013 r/w Rule 11 Companies (Management and Administration) Rules, 2014",Late filing attracts additional fee and penalties applicable to the annual return.,CIN,New
IN-MCA-ADT1,ROC,CORPORATE_SECRETARIAL,ADT-1 — notice of auditor appointment,ADT-1,Annual — 15 days after the AGM Date,"Section 139 Companies Act, 2013 r/w Rule 4","Additional fee applies under the Companies (Registration Offices and Fees) Rules, 2014; separate statutory consequences may apply. Do not use a universal ₹100/day penalty.",CIN,Existing
IN-MCA-AUDITOR-CONSENT-ELIGIBILITY,ROC,CORPORATE_SECRETARIAL,Auditor consent and eligibility certificate,Auditor Consent / Eligibility Certificate,Event-based — obtain before appointment / reappointment,"Section 139(1) Companies Act, 2013 r/w Rule 4 Companies (Audit and Auditors) Rules, 2014",Appointment made without the required eligibility / consent can be non-compliant and require corrective action.,CIN,New
IN-MCA-ADT1-REAPPOINTMENT,ROC,CORPORATE_SECRETARIAL,Auditor reappointment — AGM resolution and ROC filing,AGM Resolution + ADT-1,Annual — 15 days after the AGM Date,"Section 139 Companies Act, 2013 r/w Rule 4","Additional fee applies under the Companies (Registration Offices and Fees) Rules, 2014; separate statutory consequences may apply. Do not use a universal ₹100/day penalty.",CIN,New
IN-MCA-AUDITOR-CASUAL-VACANCY,ROC,CORPORATE_SECRETARIAL,Auditor casual vacancy — appointment,Board/Shareholder Resolution + ADT-1,"Event-based — Board generally fills the vacancy within 30 days; where caused by resignation, shareholder approval is required within three months","Section 139(8) Companies Act, 2013",Failure to fill the vacancy or complete required filings can attract statutory penalties and additional filing fees.,CIN,New
IN-MCA-ADT3,ROC,CORPORATE_SECRETARIAL,ADT-3 — auditor resignation statement,ADT-3,Event-based — auditor to file within 30 days of resignation,"Section 140(2) Companies Act, 2013 r/w Rule 8 Companies (Audit and Auditors) Rules, 2014",Late or non-filing can attract statutory penalty on the auditor in addition to filing fees.,CIN,New
IN-MCA-AUDITORS-REPORT,ROC,CORPORATE_SECRETARIAL,Independent auditor's report — completion and signing,Independent Auditor's Report,Annual — completed and signed with the audited financial statements before circulation / AGM,"Section 143 Companies Act, 2013",Professional and statutory consequences apply for non-compliance or defective reporting.,CIN,New
IN-MCA-SECRETARIAL-AUDIT-MR3,ROC,CORPORATE_SECRETARIAL,Secretarial audit — MR-3 for prescribed companies,MR-3,Annual — annex to the Board's Report for the relevant financial year,"Section 204 Companies Act, 2013 r/w Rule 9 Companies (Appointment and Remuneration of Managerial Personnel) Rules, 2014","Contravention attracts penalties on the company, officers and practising company secretary under Section 204.",CIN,New
IN-MCA-SECRETARIAL-AUDITOR-APPOINTMENT,ROC,CORPORATE_SECRETARIAL,Secretarial auditor — appointment / engagement,Board Resolution / Engagement Letter,Annual / event-based — appoint early enough to complete the statutory secretarial audit before the Board's Report is finalised,"Section 204 Companies Act, 2013 r/w applicable rules",No separate filing penalty; failure to obtain the required secretarial audit attracts Section 204 consequences.,CIN,New
IN-MCA-MGT8,ROC,CORPORATE_SECRETARIAL,"MGT-8 — certification of annual return, where applicable",MGT-8,Annual — obtain before filing the annual return; MGT-7 is due within 60 days of the AGM,"Section 92(2) Companies Act, 2013 r/w Rule 11 Companies (Management and Administration) Rules, 2014",Incorrect certification or failure to obtain required certification can attract statutory and professional penalties.,CIN,New
IN-MCA-SHAREHOLDING-DISCLOSURE,ROC,CORPORATE_SECRETARIAL,Shareholding details — annual return disclosure,Shareholding Statement / MGT-7 data,Annual — finalise for inclusion in MGT-7 / MGT-7A within the annual-return filing timeline,"Section 92 Companies Act, 2013 r/w Companies (Management and Administration) Rules, 2014",Incorrect or omitted annual-return particulars may attract penalties applicable to the annual return.,CIN,New
IN-MCA-PROMOTER-SHAREHOLDING,ROC,CORPORATE_SECRETARIAL,Promoter shareholding — annual disclosure,Promoter Holding Statement / annual return data,Annual — update and reconcile for annual-return and financial-statement disclosures,"Sections 88 and 92 Companies Act, 2013 r/w applicable rules",No separate filing penalty; non-compliance is dealt with under the applicable substantive provision.,CIN,New
IN-MCA-MEMBER-LIST,ROC,CORPORATE_SECRETARIAL,Register / list of members — annual return support,List of Members / Register of Members,Ongoing / annual — maintain continuously and reconcile for the annual return,"Sections 88 and 92 Companies Act, 2013",Default in maintenance or annual-return reporting attracts penalties under the relevant provisions.,CIN,New
IN-MCA-DIRECTOR-KMP-ANNUAL-DISCLOSURE,ROC,CORPORATE_SECRETARIAL,Director and KMP details — annual return disclosure,Director & KMP Statement / MGT-7 data,Annual — reconcile for the annual return and update event-based changes through applicable ROC forms,"Sections 170 and 92 Companies Act, 2013",No separate filing penalty; non-compliance is dealt with under the applicable substantive provision.,CIN,New
IN-MCA-DIRECTOR-REMUNERATION-ANNUAL,ROC,CORPORATE_SECRETARIAL,Director / KMP remuneration — annual disclosure,Remuneration Statement / financial statements / Board's Report,"Annual — with the financial statements and Board's Report, as applicable","Section 197 Companies Act, 2013 r/w applicable rules",No separate filing penalty; non-compliance is dealt with under the applicable substantive provision.,CIN,New
IN-MCA-BOARD-MEETING,ROC,CORPORATE_SECRETARIAL,Board meetings — statutory frequency and gap,Board Meeting Register / Minutes,First Board meeting within 30 days of incorporation; thereafter at least 4 Board meetings every year with not more than 120 days between consecutive meetings. Special rules apply to OPC/small/dormant companies.,"Section 173 Companies Act, 2013","Section 173 consequences depend on the specific default. The ₹25,000 amount in Section 173(4) relates to failure by an officer to give required notice and is not a generic meeting-frequency penalty.",CIN,New
IN-MCA-BOARD-MEETING-ATTENDANCE,ROC,CORPORATE_SECRETARIAL,Board meeting attendance — records,Attendance Register,Governance / event-based — maintain attendance for each Board meeting; no standalone quarterly filing due date.,"Section 173 Companies Act, 2013","No standalone filing penalty for the attendance record itself; apply the consequence of the actual underlying governance default, if any.",CIN,New
IN-MCA-COMMITTEE-MEETINGS,ROC,CORPORATE_SECRETARIAL,"Statutory committee meetings — scheduling, attendance and minutes",Committee Meeting Records,"Periodic / event-based — frequency depends on the committee, company class and applicable law / listing requirements","Companies Act, 2013 and applicable committee rules / Secretarial Standards",Penalties depend on the specific committee obligation and applicable law.,CIN,New
IN-MCA-CSR-ANNUAL-COMPLIANCE,ROC,CORPORATE_SECRETARIAL,CSR — annual compliance review,CSR-2 where applicable + Board's Report disclosures,Annual — complete CSR spending / transfer / reporting obligations for the financial year and make prescribed filings / disclosures,"Section 135 Companies Act, 2013 r/w Companies (Corporate Social Responsibility Policy) Rules, 2014",Unspent-amount and reporting defaults can attract monetary penalties under Section 135.,CIN,New
IN-MCA-CSR-REPORT,ROC,CORPORATE_SECRETARIAL,CSR — annual report and Board's Report disclosure,Annual CSR Report,Annual — included in / annexed to the Board's Report for the financial year,"Section 135 Companies Act, 2013 r/w Rule 8 Companies (Corporate Social Responsibility Policy) Rules, 2014",No separate filing penalty; non-compliance is dealt with under the applicable substantive provision.,CIN,New
IN-MCA-AOC2-RPT,ROC,CORPORATE_SECRETARIAL,"AOC-2 — disclosure of related-party contracts / arrangements, where applicable",AOC-2,Annual — annexed to the Board's Report for the relevant financial year,"Section 134(3)(h) Companies Act, 2013 r/w Rule 8(2) Companies (Accounts) Rules, 2014 and Section 188",Underlying related-party transaction defaults can attract penalties and require ratification / restitution.,CIN,New
IN-MCA-SECTION186,ROC,CORPORATE_SECRETARIAL,"Loans, guarantees, securities and investments — Section 186 compliance",Register / Board and shareholder approvals,Event-based — obtain required approvals before the transaction and update the statutory register promptly,"Section 186 Companies Act, 2013",Contravention can attract penalties on the company and officers in default.,CIN,New
IN-MCA-DPT3,ROC,CORPORATE_SECRETARIAL,DPT-3 — annual return of deposits / exempt receipts,DPT-3,"Annual — on or before 30 June every year for information as on 31 March, subject to MCA extensions.","Rule 16 Companies (Acceptance of Deposits) Rules, 2014",Additional filing fee and statutory consequences apply under the Companies (Acceptance of Deposits) Rules / MCA fee rules; do not use a single universal penalty amount.,CIN,Existing
IN-MCA-MSME1,ROC,CORPORATE_SECRETARIAL,MSME-1 — half-yearly return of outstanding dues to micro and small enterprises,MSME-1,Half Yearly — generally 30 April for October–March and 31 October for April–September,"Section 405 Companies Act, 2013 r/w Specified Companies (Furnishing of Information about Payment to Micro and Small Enterprise Suppliers) Order, 2019",Non-filing / incorrect filing can attract penalties under Section 405.,CIN,Existing
IN-MCA-BEN2,ROC,CORPORATE_SECRETARIAL,BEN-2 — return of significant beneficial ownership,BEN-2,Event-based — company to file within 30 days of receipt of the BEN-1 declaration,"Section 90 Companies Act, 2013 r/w Companies (Significant Beneficial Owners) Rules, 2018",Company and officer defaults can attract monetary penalties; SBO-related restrictions may also apply.,CIN,Existing
IN-MCA-PAS6,ROC,CORPORATE_SECRETARIAL,PAS-6 — reconciliation of share capital audit,PAS-6,"Half Yearly — within 60 days from the conclusion of each half-year, where applicable","Rules 9A / 9B Companies (Prospectus and Allotment of Securities) Rules, 2014, as applicable",Late filing attracts additional fee and statutory penalties may apply.,CIN,Existing
IN-MCA-ANNUAL-RETURN-WEBSITE,ROC,CORPORATE_SECRETARIAL,Annual return — website disclosure and Board's Report link,Website disclosure,"Annual — place the annual return on the company's website, if any, and disclose the web-link in the Board's Report","Section 92(3) Companies Act, 2013",Default is dealt with under the annual-return / Board-report compliance provisions.,CIN,New
IN-MCA-STATUTORY-REGISTERS,ROC,CORPORATE_SECRETARIAL,Statutory registers — annual review and continuous update,Annual Register Checklist,Ongoing — maintain and update the applicable statutory registers when the triggering event occurs; no universal annual filing due date.,"Sections 85, 88, 170, 189 Companies Act, 2013",Penalty depends on the particular register/default and applicable section; do not use a single universal amount.,CIN,Existing
IN-MCA-STATUTORY-RECORDS-REVIEW,ROC,CORPORATE_SECRETARIAL,Statutory records — annual completeness review,Annual Compliance Checklist,Annual / ongoing — no standalone filing; review before annual filings and AGM,"Companies Act, 2013 and rules applicable to the relevant statutory records",No separate filing penalty; non-compliance is dealt with under the applicable substantive provision.,CIN,New
IN-MCA-DIVIDEND-DECLARATION,ROC,CORPORATE_SECRETARIAL,"Dividend — declaration, payment and records",Board/AGM Resolution + Dividend Records,Event-based — final dividend is declared at the AGM; declared dividend is generally payable within 30 days,"Sections 123 and 127 Companies Act, 2013",Failure to distribute declared dividend within the statutory period can attract interest and penalties under Section 127.,CIN,New
IN-MCA-UNPAID-DIVIDEND,ROC,CORPORATE_SECRETARIAL,Unpaid dividend — transfer and disclosure,Unpaid Dividend Account / IEPF-related statements,Event-based — unpaid amount is transferred to the Unpaid Dividend Account within 7 days after expiry of 30 days from declaration; further IEPF timelines then apply,"Section 124 Companies Act, 2013 r/w IEPF Authority Rules, 2016",Company and officer penalties apply for failure to transfer / report amounts as required.,CIN,New
IN-MCA-IEPF4,ROC,CORPORATE_SECRETARIAL,IEPF-4 — statement of shares transferred to IEPF,IEPF-4,Event-based — file within 30 days of the corporate action effecting transfer of shares to the IEPF demat account,"Section 124(6) Companies Act, 2013 r/w Rule 6 IEPF Authority (Accounting, Audit, Transfer and Refund) Rules, 2016",Default can attract penalties under the Companies Act / IEPF Rules.,CIN,New
IN-MCA-IEPF5-PROCESS,ROC,CORPORATE_SECRETARIAL,IEPF-5 claim — company verification and records,IEPF-5 process / verification report,Event-based — company/bank must submit the IEPF-5 e-verification report within 30 days from the date of submission of the claim.,"Rule 7 IEPF Authority (Accounting, Audit, Transfer and Refund) Rules, 2016","Additional fee of ₹50 per day applies after the prescribed period, subject to a maximum of ₹2,500, as stated in the current MCA instruction kit.",CIN,New
IN-MCA-ANNUAL-COMPLIANCE-CERTIFICATE,ROC,CORPORATE_SECRETARIAL,Annual compliance certificate — internal / engagement deliverable,Annual Compliance Certificate,Annual / internal — no universal standalone ROC filing due date,Internal governance / professional engagement requirement; statutory basis depends on the certificate used,No standalone statutory penalty unless the certificate is required under a specific provision.,CIN,New
IN-MCA-DIRECTOR-ANNUAL-DECLARATIONS,ROC,CORPORATE_SECRETARIAL,Director annual declarations — interest and disqualification status,MBP-1 / DIR-8 / annual director declarations,"Annual / event-based — collect at the first Board meeting / start of the financial year and on changes, as applicable","Sections 164 and 184 Companies Act, 2013 r/w applicable rules",Incorrect or missing declarations can trigger director and company-level compliance consequences.,CIN,Existing
IN-MCA-AUDITOR-INDEPENDENCE,ROC,CORPORATE_SECRETARIAL,Auditor independence and eligibility — annual / appointment check,Auditor Independence Checklist / eligibility certificate,Annual / event-based — verify before appointment / reappointment and monitor throughout the engagement,"Sections 139 and 141 Companies Act, 2013",Ineligible appointment and prohibited relationships can require vacancy / corrective action and may attract penalties.,CIN,New
IN-MCA-FINANCIAL-STATEMENT-APPROVAL,ROC,CORPORATE_SECRETARIAL,Financial statements — Board approval and signing,Board Resolution,Annual — Board approval and prescribed signatures before circulation and AGM,"Section 134(1) Companies Act, 2013",Non-compliance can attract penalties under Section 134.,CIN,New
IN-MCA-ANNUAL-FILING-RECONCILIATION,ROC,CORPORATE_SECRETARIAL,ROC annual filing — reconciliation and completeness check,ROC Filing Reconciliation,Annual / internal — complete before AOC-4 and MGT-7 / MGT-7A filings,"Internal control supporting Sections 92 and 137 Companies Act, 2013",No separate filing penalty; non-compliance is dealt with under the applicable substantive provision.,CIN,New
IN-MCA-ANNUAL-COMPLIANCE-SIGNOFF,ROC,CORPORATE_SECRETARIAL,Annual compliance — final sign-off,Annual Compliance Certificate / sign-off checklist,Annual / internal — after completion of annual corporate filings and supporting reviews,Internal governance; no universal standalone statutory filing,No separate filing penalty; non-compliance is dealt with under the applicable substantive provision.,CIN,New
IN-MCA-CSR1,ROC,CORPORATE_SECRETARIAL,CSR-1 — registration of eligible CSR implementing entity,CSR-1,Event-based — complete registration before undertaking CSR activities as an implementing agency,"Rule 4(2) Companies (Corporate Social Responsibility Policy) Rules, 2014","Without valid registration, the entity cannot act as an eligible implementing agency for covered CSR projects.",CIN,New
IN-MCA-CSR-UTILISATION-CERTIFICATE,ROC,CORPORATE_SECRETARIAL,CSR utilisation — certification of funds disbursed and used,Utilisation Certificate / CFO or responsible person certification,Annual / ongoing — certify utilisation for Board review as part of CSR monitoring; no separate ROC filing date,"Rule 4(5) Companies (Corporate Social Responsibility Policy) Rules, 2014",No separate filing penalty; non-compliance is dealt with under the applicable substantive provision.,CIN,New
IN-MCA-CSR2,ROC,CORPORATE_SECRETARIAL,CSR-2 — report on corporate social responsibility,CSR-2,Annual — file CSR-2 for the relevant financial year within the timeline prescribed by Rule 12(1B) and the FY-specific MCA notification / filing mechanism; do not derive a universal 31 December rule without the applicable FY notification.,"Rule 12(1B) Companies (Accounts) Rules, 2014",Do not infer a CSR-2 filing penalty from Section 135 unspent-CSR penalties. Apply the current MCA filing-fee / statutory consequence for the relevant FY and default.,CIN,Existing
IN-MCA-CSR-BOARD-REPORT,ROC,CORPORATE_SECRETARIAL,CSR — Board's Report disclosure,CSR disclosure in Board's Report,Annual — include the prescribed CSR disclosures in the Board's Report for the financial year,"Section 134(3)(o) and Section 135 Companies Act, 2013 r/w Rule 8 Companies (Corporate Social Responsibility Policy) Rules, 2014",Reporting and unspent-amount defaults can attract penalties under Section 135 and related provisions.,CIN,New
IN-MCA-CSR-ANNUAL-REPORT,ROC,CORPORATE_SECRETARIAL,CSR — annual report on CSR activities,Annual CSR Report,Annual — prepare for inclusion / annexure to the Board's Report,"Rule 8 Companies (Corporate Social Responsibility Policy) Rules, 2014",No separate filing penalty; non-compliance is dealt with under the applicable substantive provision.,CIN,New
IN-EPF-FORM5A,PF and ESIC,LABOUR,EPF Form 5A — employer ownership / management particulars,Form 5A / online ownership details,Event-based — furnish prescribed ownership / management particulars and update changes within the applicable EPFO timeline,"Paragraph 36A EPF Scheme, 1952 / EPFO Form 5A requirements",Failure to furnish required employer particulars can attract action under the EPF law and delay establishment services.,ESIC / EPF Code,New
IN-EPF-CONTRIBUTION-PAYMENT,PF and ESIC,LABOUR,EPF contribution — monthly payment,ECR-generated challan / online payment,"Monthly — 1 month, up to day 15 of that month after end of the period","Para 38 EPF Scheme, 1952",Delayed remittance can attract interest under Section 7Q and damages under Section 14B. The damages rate/policy has changed over time; calculate using the notification/policy effective for the default period rather than the legacy 5–100% table.,ESIC / EPF Code,New
IN-EPF-ECR-RECON,PF and ESIC,LABOUR,EPF ECR and challan — monthly reconciliation,ECR + Challan,Monthly / internal — complete after ECR filing and contribution payment for the month,"Internal control supporting Paragraph 38 EPF Scheme, 1952",No separate filing penalty; unresolved short payment can attract interest and damages.,ESIC / EPF Code,New
